#,Page / Component / Hook,File Path,Line #,Method,Endpoint,Auth Required,Request Body,Query Params,State Management,Fetching Library,Trigger Type,Criticality,Schema Status,Schema Evidence
1,app/api/auth/login/route.ts,app/api/auth/login/route.ts:11,11,SEE_SOURCE,${API_BASE_URL}/auth/login/admin/,route-dependent,See source,—,direct,fetch/axios direct,direct fetch,High,DIRECT,Inspect direct call source.
2,app/api/auth/refresh/route.ts,app/api/auth/refresh/route.ts:19,19,SEE_SOURCE,${API_BASE_URL}/auth/token/refresh/,route-dependent,See source,—,direct,fetch/axios direct,direct fetch,High,DIRECT,Inspect direct call source.
3,Page: /dashboard/admins,app/dashboard/admins/page.tsx:49,49,GET,/superadmin/admins/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/superadmin/admins/ found in schema.yml.
4,Page: /dashboard/admins,app/dashboard/admins/page.tsx:50,50,GET,/superadmin/permissions/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/superadmin/permissions/ found in schema.yml.
5,Page: /dashboard/admins,app/dashboard/admins/page.tsx:51,51,GET,/superadmin/backup/list/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/superadmin/backup/list/ found in schema.yml.
6,Page: /dashboard/admins,app/dashboard/admins/page.tsx:52,52,GET,/superadmin/health/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/superadmin/health/ found in schema.yml.
7,Page: /dashboard/admins,app/dashboard/admins/page.tsx:53,53,GET,/superadmin/activity-log/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/superadmin/activity-log/ found in schema.yml.
8,Page: /dashboard/admins,app/dashboard/admins/page.tsx:63,63,PUT,/superadmin/admins/${id}/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,PUT /api/v1/superadmin/admins/{id}/ found in schema.yml.
9,Page: /dashboard/admins,app/dashboard/admins/page.tsx:63,63,POST,/superadmin/admins/,Yes (Bearer via interceptor),payload argument,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/superadmin/admins/ found in schema.yml.
10,Page: /dashboard/admins,app/dashboard/admins/page.tsx:78,78,DELETE,/superadmin/admins/${id}/remove/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,DELETE /api/v1/superadmin/admins/{id}/remove/ found in schema.yml.
11,Page: /dashboard/admins,app/dashboard/admins/page.tsx:88,88,POST,/superadmin/admins/${id}/deactivate/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/superadmin/admins/{id}/deactivate/ found in schema.yml.
12,Page: /dashboard/admins,app/dashboard/admins/page.tsx:97,97,POST,/superadmin/permissions/assign/,Yes (Bearer via interceptor),"{ admin_id, permissions }",—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/superadmin/permissions/assign/ found in schema.yml.
13,Page: /dashboard/admins,app/dashboard/admins/page.tsx:106,106,POST,/superadmin/backup/create/,Yes (Bearer via interceptor),inline object,—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/superadmin/backup/create/ found in schema.yml.
14,Page: /dashboard/admins,app/dashboard/admins/page.tsx:115,115,POST,/superadmin/backup/restore/,Yes (Bearer via interceptor),{},—,React Query wrapper/call site,axios api client,mutation/user-action,High,PASS,POST /api/v1/superadmin/backup/restore/ found in schema.yml.
15,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:124,124,GET,/admin/qr/current/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/qr/current/ found in schema.yml.
16,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:125,125,GET,/admin/qr/history/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/qr/history/ found in schema.yml.
17,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:128,128,GET,/admin/qr/${id}/scans/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/qr/{id}/scans/ found in schema.yml.
18,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:133,133,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/students/ found in schema.yml.
19,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:138,138,GET,/admin/attendance/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/attendance/ found in schema.yml.
20,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:143,143,GET,/holidays/,No/route-dependent,—,params argument,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/holidays/ found in schema.yml.
21,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:148,148,GET,/admin/settings/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Critical,PASS,GET /api/v1/admin/settings/ found in schema.yml.
22,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:153,153,GET,/holidays/,No/route-dependent,—,params argument,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/holidays/ found in schema.yml.
23,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:158,158,GET,/admin/attendance/daily-summary/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/attendance/daily-summary/ found in schema.yml.
24,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:163,163,GET,/admin/attendance/absentees/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/attendance/absentees/ found in schema.yml.
25,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:166,166,GET,/admin/attendance/streak/,Yes (Bearer via interceptor),—,—,React Query wrapper/call site,axios api client,on-mount/query,Medium,PASS,GET /api/v1/admin/attendance/streak/ found in schema.yml.
26,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:170,170,GET,/admin/students/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/students/ found in schema.yml.
27,Page: /dashboard/attendance,app/dashboard/attendance/page.tsx:175,175,GET,/admin/attendance/,Yes (Bearer via interceptor),—,params argument,React Query wrapper/call site,axios api client (paginated),on-mount/query,Medium,PASS,GET /api/v1/admin/attendance/ found in schema.yml.
